id,title,author,publisher,category,stock,borrowed,totalBorrowed
1,C++程序设计,谭浩强,清华大学出版社,计算机,3,0,2
2,数据结构,严蔚敏,清华大学出版社,计算机,8,1,24
3,计算机网络,谢希仁,电子工业出版社,计算机,15,2,10
4,操作系统,汤小丹,西安电子科技大学出版社,计算机,12,1,20
5,数据库系统概论,王珊,高等教育出版社,计算机,3,1,14
6,Python编程从入门到实践,Eric Matthes,人民邮电出版社,计算机,13,3,28
7,算法导论,Thomas H. Cormen,机械工业出版社,计算机,14,2,19
8,软件工程导论,张海藩,清华大学出版社,软件工程,10,2,3
9,人工智能基础,周志华,清华大学出版社,人工智能,3,2,16
10,机器学习,周志华,清华大学出版社,人工智能,8,3,16
11,高等数学,同济大学数学系,高等教育出版社,数学,11,1,18
12,线性代数,同济大学数学系,高等教育出版社,数学,5,1,8
13,概率论与数理统计,浙江大学,高等教育出版社,数学,3,1,11
14,大学物理,马文蔚,高等教育出版社,物理,5,1,17
15,电路原理,邱关源,高等教育出版社,电子信息,11,2,18
16,模拟电子技术基础,童诗白,高等教育出版社,电子信息,13,1,15
17,数字电子技术基础,阎石,高等教育出版社,电子信息,15,3,26
18,信号与系统,郑君里,高等教育出版社,通信,11,2,27
19,通信原理,樊昌信,国防工业出版社,通信,12,2,13
20,自动控制原理,胡寿松,科学出版社,自动化,10,1,25
21,工程制图,大连理工大学工程图学教研室,高等教育出版社,工程基础,9,3,23
22,理论力学,哈尔滨工业大学理论力学教研室,高等教育出版社,力学,11,1,16
23,材料力学,刘鸿文,高等教育出版社,力学,7,3,19
24,机械设计,濮良贵,高等教育出版社,机械,11,2,23
25,管理学原理,周三多,高等教育出版社,管理,10,3,14
26,经济学原理,曼昆,北京大学出版社,经济,12,3,18
27,大学英语综合教程,李荫华,上海外语教育出版社,英语,13,1,11
28,中国近现代史纲要,本书编写组,高等教育出版社,思政,14,1,20
29,马克思主义基本原理,本书编写组,高等教育出版社,思政,7,3,12
30,创新创业基础,李家华,高等教育出版社,创新创业,7,3,12
